id,kode_kabupaten_kota,Kabupaten_Kota,persentase_capaian_spm,Jumlah_Siswa_SD,Jumlah_Siswa_SMP,Jumlah_Siswa_SMA,Jumlah_Sekolah_SD,Jumlah_Sekolah_SMP,Jumlah_Sekolah_SMA,Angka_Harapan_Sekolah,Rata-rata-Lama_Sekolah(Tahun),APS(7-12),APS(13-15),APS(16-18),APS(19-23),Putus_Sekolah(SD),Putus_Sekolah(SMP),Putus_Sekolah(SMA),Putus_Sekolah(SMK/MAK),Guru_Bersertifikasi(SD),Persen_Guru_Bersertifikasi(SD),Guru_Bersertifikasi(SMP),Persen_Guru_Bersertifikasi(SMP),Guru_Bersertifikasi(SMA),Persen_Guru_Bersertifikasi(SMA),Perpustakaan_SD,Perpustakaan_SMP,Perpustakaan_SMA,Ruang_Kelas_Baik_SD,Jumlah_Ruang_Kelas_SD,Ruang_Kelas_Baik_SMP,Jumlah_Ruang_Kelas_SMP,Ruang_Kelas_Baik_SMA,Jumlah_Ruang_Kelas_SMA,Usaha_Kesehatan_SD,Usaha_Kesehatan_SMP,Usaha_Kesehatan_SMA,Jumlah_Toilet_Guru_SD,Jumlah_Toilet_Guru_SMP,Jumlah_Toilet_Guru_SMA,Jumlah_Toilet_Siswa_SD,Jumlah_Toilet_Siswa_SMP,Jumlah_Toilet_Siswa_SMA
26,3526,Kab. Bangkalan,66.68,91100,15216,7078,614,55,10,11.98,6.01,99.94,97.24,53.3,14.21,269,148,61,49,1.822,34.96,849,33.36,334,34.00,407,55,14,809,3949,244,739,175,269,133,35,10,410,69,14,346,35,12
10,3510,Kab. Banyuwangi,83.4,90778,36364,15825,746,73,17,13.14,7.78,99.61,99.32,79.98,16.52,64,18,3,17,2.113,32.04,1.508,45.59,626,50.00,510,79,19,1670,5344,380,1219,245,448,352,63,17,832,97,38,449,44,12
5,3505,Kab. Blitar,81.58,54552,28695,7754,634,49,7,12.67,7.87,99.53,97.53,73.67,14.92,24,6,1,5,1.823,40.00,1.208,61.73,277,55.00,485,58,8,1325,4217,535,1013,161,215,423,46,8,736,105,22,352,39,10
22,3522,Kab. Bojonegoro,85.59,62472,26442,14520,692,55,20,13.18,7.59,99.77,98.19,85.5,21.13,21,7,25,10,1.853,35.86,1.058,53.73,438,42.00,435,61,20,1677,4498,295,1047,227,444,253,49,18,783,113,45,436,46,12
11,3511,Kab. Bondowoso,77.73,45993,11141,4946,441,48,10,13.33,6.53,97.86,94.97,69.97,14.53,64,64,109,120,1.500,32.72,533,36.41,236,44.00,340,48,10,1239,3089,231,588,157,187,186,29,10,485,114,22,558,51,20
25,3525,Kab. Gresik,81.72,57524,22019,13204,389,35,12,13.98,10.03,99.33,99.19,81.95,27.68,51,18,7,31,1.560,34.79,1.066,53.65,644,51.00,324,40,11,734,2946,258,784,160,350,219,32,8,440,107,35,472,51,17
9,3509,Kab. Jember,75.51,140356,43506,17173,904,94,18,13.5,6.54,98.83,95.49,74.35,26.11,206,168,48,139,3.110,36.88,1.413,33.52,662,49.00,699,103,18,2834,7041,627,1477,249,476,508,79,18,1186,103,50,464,46,10
17,3517,Kab. Jombang,79.39,60136,31163,9897,474,48,12,13.61,8.78,99.74,98.37,84.42,21.3,34,10,8,4,1.932,48.45,1.281,52.72,606,53.00,451,55,12,1066,3272,467,1045,199,292,276,50,14,679,94,39,346,34,10
6,3506,Kab. Kediri,82.56,75986,43132,15446,611,53,14,13.63,8.26,99.99,97.63,81.87,18.16,32,8,5,4,2.249,38.81,1.444,58.91,476,55.00,422,55,17,1184,4657,845,1250,259,419,306,48,14,904,99,33,414,45,10
24,3524,Kab. Lamongan,81.58,43432,23608,13203,594,48,13,14.03,8.48,99.99,99.99,79.09,24.04,16,18,39,11,1.618,32.69,1.443,54.27,763,52.00,387,56,17,885,3807,481,982,164,371,236,48,12,665,96,31,346,38,10
8,3508,Kab. Lumajang,79.68,58398,21522,9825,525,71,12,12.41,7.27,97.87,98.86,64.7,16.35,36,21,18,77,1.552,39.24,798,45.68,320,49.00,321,75,17,1278,3559,370,888,170,294,277,49,11,701,124,26,502,52,15
19,3519,Kab. Madiun,86.9,33715,16055,7598,401,37,10,13.27,8.2,98.05,99.95,89.36,20.14,19,32,2,7,1.290,42.12,821,73.50,282,68.00,311,38,14,855,2625,175,702,224,265,221,45,11,456,98,32,365,46,7
20,3520,Kab. Magetan,85.27,28537,17396,8427,385,39,10,14.08,8.69,98.62,99.97,82.92,20.61,10,2,0,1,1.446,45.70,966,76.97,402,79.00,338,41,10,534,2621,342,747,215,266,281,40,9,560,115,20,544,48,13
7,3507,Kab. Malang,81,147200,45011,13235,1,97,13,13.49,7.8,99.61,96.92,71.45,28.29,134,114,28,108,3.048,33.95,2.154,46.84,696,45.00,631,94,16,2735,7392,814,1530,353,405,665,75,14,1417,147,42,511,54,13
16,3516,Kab. Mojokerto,84.93,53835,25386,11914,385,41,11,12.99,9.13,99.52,99.97,85.84,15.01,21,4,3,18,1.750,43.65,1.012,52.79,407,52.00,296,44,12,1020,3049,362,847,187,328,253,40,12,522,121,23,542,45,6
18,3518,Kab. Nganjuk,79.15,61081,30166,13494,573,54,14,13.18,8.25,99.24,95.31,91.1,20.43,19,1,0,9,1.817,36.04,1.274,60.21,545,61.00,407,73,14,1379,3959,594,1177,263,371,293,59,18,756,103,36,464,43,10
21,3521,Kab. Ngawi,83.44,39230,20401,8083,475,50,10,12.89,7.84,99.85,98.71,82.25,11.75,24,12,1,12,1.973,44.95,890,57.49,302,55.00,461,57,11,668,3149,260,897,140,255,252,41,10,568,75,20,335,41,11
1,3501,Kab. Pacitan,82.46,29126,13949,4098,408,50,8,12.69,7.9,99.55,96.64,84.81,10.75,23,6,8,11,1.451,39.14,721,59.64,171,61.00,313,54,9,832,2514,388,609,113,156,223,38,7,559,176,18,1005,91,13
28,3528,Kab. Pamekasan,72.45,50519,8137,5723,411,34,9,13.69,7.17,99.31,97.8,65.92,19.29,83,193,108,240,1.814,39.36,783,42.49,424,40.00,393,36,9,889,2996,213,454,90,210,151,26,9,392,118,13,602,60,8
14,3514,Kab. Pasuruan,76.59,106755,30263,7790,652,63,8,12.78,7.46,98.99,93.82,68.54,16.24,70,31,14,24,2.547,38.25,1.075,41.81,333,40.00,449,64,8,1732,4735,581,988,160,222,402,48,8,887,130,12,436,68,14
2,3502,Kab. Ponorogo,83.12,40943,20267,8927,550,56,15,13.78,7.8,98.47,99.33,83.84,20.8,4,14,4,14,1.918,44.42,1.046,65.95,459,61.00,442,69,15,1025,3556,304,854,241,333,343,48,15,669,144,41,454,63,12
13,3513,Kab. Probolinggo,72.78,64076,17383,8387,572,74,17,12.64,6.31,99.56,90.74,57.03,18.43,60,97,30,41,1.866,41.51,782,36.89,303,32.00,368,75,24,1256,3903,313,787,129,276,196,51,9,610,83,21,289,43,10
27,3527,Kab. Sampang,66.46,64120,9469,4091,511,53,10,12.55,5.08,99.97,94.39,62.62,13.73,295,402,81,62,1.497,33.10,592,25.77,217,23.00,413,63,10,1071,3522,257,541,97,186,142,32,8,500,107,20,298,49,8
15,3515,Kab. Sidoarjo,84.98,106836,42717,15191,463,48,13,15.22,10.91,99.82,99.93,88.33,38.09,72,31,15,29,2.929,35.87,1.765,42.35,822,47.00,435,50,14,2288,4185,746,1334,267,429,400,45,14,683,184,47,792,88,17
12,3512,Kab. Situbondo,75.56,39590,12672,6681,397,55,9,13.2,6.93,99.28,98.93,69.59,11.28,75,116,22,42,1.747,40.71,749,54.24,299,55.00,318,51,12,727,2777,287,618,139,252,153,32,7,448,149,24,638,64,16
29,3529,Kab. Sumenep,67.61,47540,9256,6710,550,43,12,13.59,6.1,98.4,95.23,68.48,18.5,149,131,55,93,1.777,27.78,640,28.07,356,32.00,394,48,13,763,3657,257,572,131,254,207,39,11,532,58,22,234,28,9
3,3503,Kab. Trenggalek,87.15,35871,17330,7951,417,50,12,12.63,7.92,99.38,98.85,81.14,13.52,28,13,0,3,1.354,39.65,930,64.32,283,57.00,381,51,13,919,2842,327,745,162,244,181,42,11,502,80,19,278,34,7
